Name,Image_URL,Image_URL_2,Description
Honey locust,,,Gleditsia triacanthos : Honey locustFamily:FabaceaeOrigin : United States of AmericaHeight in its natural environment : 20 mHardiness : -30°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Yellowhorn tree,,,Xanthoceras sorbifolium : Yellowhorn treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 5 mHardiness : -20°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Chinese honey locust,,,"Gleditsia sinensis : Chinese honey locustFamily:FabaceaeOrigin : China, India, KoreaHeight in its natural environment : 12mHardiness : -26°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Pineapple guava,,,Feijoa sellowiana : Pineapple guavaFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 5 mHardiness : -15°CColour of the flower : RedDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
Golden rain tree,,,Koelreuteria paniculata : Golden rain treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 10 mHardiness : -20 °CColour of the flower : YellowDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Middle grower
Silver-leaved mountain gum,,,Silver-leaved mountain gum : Gommier des montagnes à feuilles d'argentFamily : MyrtaceaeOrigin : AustraliaHeight in its natural environment : 10 mRusticity : -10°CFlower colour : whiteDifficulty level : Expert  Hauteur : environ 10 à 20 cm (selon les saisons)  Croissance moyenne
American beautyberry,,,Callicarpa americana : American beautyberryFamily : VerbénaceaeOrigin : South east of the USAHeight in its natural environment : 2 mHardiness: -12°CFlower color : pinkDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Giant honey flower,,,"Melianthus major : Giant honey flowerFamily : MelianthaceaeOrigin : South AfricaHeight in its natural environment : 2,50 mRusticity : -6°CFlower colour: red/orange/brownDifficulty level : Beginner  Size : 10 cm to 30 cm  Fast grower"
Cockspur coral tree,,,Erythrina crista-galli : Cockspur coral treeFamily : FabaceaeOrigin : South AmericaHeight in its natural environment : 9 mRusticity : -12°CFlower colour : red orangeDifficulty level : Beginner  Height - about 10 to 20 cm (depending on seasons)  Fast Grower
Paw Paw,,,Asimina triloba: Paw PawFamily: AnnonaceaeOrigin : United States of AmericaHeight in its natural environment : 12 mHardiness : -20°CColour of the flower : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Ice-cream bean,,,Inga edulis : Ice-cream beanFamily: FabaceaeOrigin : South AmericaHeight in its natural environment :  15 mHardiness : -4°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Calabash tree,,,Crescentia cujete : Calabash treeFamily : BignoniaceaeOrigin : MexicoHeight in its natural environment : 12 mHardiness : 2°CColour of the flower : Yellow/GreenDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Hardy tapioca,,,"Manihot grahamii :Hardy tapiocaFamily : EuphorbiaceaeOrigin : BrasilHeight in its natural environment : 2,5 mHardiness : -10°CFlower colour : yellow - greenDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower"
Kei apple tree,,,Dovyalis caffra : Kei apple treeFamily : SalicaceaeOrigin : South AfricaHeight in its natural environment : 6 mHardiness : -6°CFlower colour : green/yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Queensland bottle tree,,,Brachychiton rupestris : Queensland bottle treeFamily : SterculiaceaeOrigin : AustraliaHeight in its natural environment : 20 mHardiness : -8°CFlower colour : yellow with pinkDifficulty level : Beginner  Height about 10 to 30 cm (depending on seasons)  Fast grower
Kapok tree,,,Ceiba pentandra : KapokierFamille : MalvacéesOrigine : Amérique du Sud et Amérique CentraleHauteur dans son milieu naturel : 70 mRusticité : 0°CCouleur de la floraison : blanc crèmeDifficulty level : Beginner  Hauteur : environ 10 à 30 cm (selon les saisons)  Croissance rapide
Tamarind tree,,,"Tamarindus indica : Tamarind treeFamily : FabaceaeOrigin : MadagascarHeight in its natural environment : 25 mHardiness : -1°CFlower colour: yellow, orange with red stripesDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons) Medium grower"
Pomegranate tree,,,Punica granatum : Pomegranate treeFamily : LythraceaeOrigin : Western AsiaHeight in its natural environment : 5 mHardiness : -15°CFlower colour : bright red  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Native frangipani,,,Hymenosporum flavum  : Native frangipaniFamily: PittosporaceaeOrigin : AustraliaHeight in its natural environment : 20 mHardiness : -2°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Brazilian cherry tree,,,Eugenia brasiliensis : Brazilian cherry treeFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 15 mHardiness : -5°CColour of the flower : WhiteLevel of difficulty : easyDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Kalahari Christmas Tree,,,Dichrostachys cinerea : Kalahari Christmas TreeFamily : FabaceaeOrigin : Southern AfricaHeight in its natural environment : 8mHardiness : -9°CColour of the flower : Pink and yellowDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Guava tree,,,Psidium guajava : Guava treeFamily: MyrtaceaeOrigin : South AmericaHeight in its natural environment : 10 mHardiness : -1°CColour of the flower :WhiteDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Lakoocha fruit,,,We are also delighted to be able to offer youArtocarpus lacucha : LakoochaFamily: MoraceaeOrigin : IndiaHeight in its natural environment : 15 mHardiness : -1°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Bee-bee tree,,,"Tetradium daniellii : Bee-bee treeFamily: RutaceaeOrigin : China, KoreaHeight in its natural environment : 20 mHardiness : -20°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Noni tree,,,"Morinda citrifolia : Noni treeFamily: RubiaceaeOrigin : India, AustraliaHeight in its natural environment : 5 mHardiness : 5°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Parkinsonia aculeata,,,Parkinsonia aculeata  :Family:Origin :Height in its natural environment : mHardiness : °CColour of the flower :Difficulty level : Expert  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Jackfruit tree,,,Artocarpus heterophyllus : Jackfruit treeFamily : MoraceaeOrigin : IndiaHeight in its natural environment : 15 mHardiness : 0°CColor flower : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Strawberry guava,,,Psidium cattleianum : Strawberry Guava Family: MyrthaceaeOrigin : BrasilHeight in its natural environment : 7mHardiness : -5°CColour of the flower :White  Height : about 5 to 20 cm (depending on seasons)  Slow grower
Womans Tongue Tree,,,Albizia lebbeck : Womans Tongue Tree Family: FabaceaeOrigin : IndiaHeight in its natural environment : 20 mHardiness : -5°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Giant Dioon,,,Dioon spinulosum : Giant DioonFamily: CycadaceaeOrigin : MexicoHeight in its natural environment : 15 mHardiness : -2°CColour of the flower : conesDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Weeping Boer-bean,,,"Schotia brachypetala : Weeping Boer-beanFamily:FabaceaeOrigin : South Africa, ZimbabweHeight in its natural environment : 20 mHardiness : -5°CColour of the flower : redDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Toad tree,,,Tabernaemontana elegans : Toad treeOrigin : Eastern AfricaHeight in its natural environment : 12 mHardiness : -4°CFlower colour : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Geiger tree,,,Cordia sebestena : Geiger treeFamily: BoraginaceaeOrigin : CaribbeansHeight in its natural environment : 9 mHardiness : -1°CColour of the flower : OrangeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Sugar-apple tree,,,Annona squamosa :Sugar-apple treeFamily : AnnonaceaeOrigin : South AmericaHeight in its natural environment : 6 mHardiness : 0°C (loses its eaves below 10°C)Flower colour : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  : medium grower
Silk floss tree,,,"Chorisia speciosa : Silk floss treeFamily: MalvaceaeOrigin : Brasil, ArgentinaHeight in its natural environment : 18 mHardiness : -6°CColour of the flower : PinkDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Pink sugar-apples tree,,,Pink Annona squamosa : Pink sugar-apples treeFamily : AnnonaceaeOrigin : South AmericaHeight in its natural environment : 6 mHardiness : 0°C (loses its eaves below 10°C)Flower colour : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  : medium grower
Jacaranda tree,,,Jacaranda mimosifolia : Jacaranda treeFamily : BignoniaceaeOrigin : BrasilHeight in its natural environment : 50 mHardiness : -5°CFlower colour : blue to purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Common cabbage tree,,,Cussonia spicata : Common cabbage treeFamily: AraliaceaeOrigin : South AfricaHeight in its natural environment : 15 mHardiness : -6°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Emblic tree,,,Phyllanthus emblica : Emblic treeFamily : EuphorbiaceaeOrigin : AsiaHeight in its natural environment : 10 mHardiness : -1°CFlower colour : yellowDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Colombian Pinwheel Tree,,,"Lafoensia acuminata : Colombian Pinwheel TreeFamily : LythraceaeOrigin : Colombia, Brasil BoliviaHeight in its natural environment : 15 mHardiness : -2°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Sago palm,,,"Cycas revoluta : Sago palmFamily: CycadeaeOrigin : Japan, JavaHeight in its natural environment : 5mHardiness : -7°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Monkey puzzle tree,,,Araucaria araucana : Monkey puzzle treeFamily : AraucariaceesOrigin : ChiliHeight in its natural environment : 40 mHardiness : -12°CFlower colour : green conesDifficulty level : Expert  Height : about 10 / 20 cm  Slow grower
Tamarillo - Tree tomato,,,"Solanum betaceum : Tamarillo - Tree tomatoFamily: SolanaceaeOrigin : Peru, Bolivia, Equator, ColombiaHeight in its natural environment : 5mHardiness : -3°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Jujube tree,,,Ziziphus jujuba : Jujube treeFamily : RhamnaceaeOrigin : ChinaHeight in its natural environment : 12 mHardiness : -15°CFlower colour : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Medium grower
Indian jujube,,,Ziziphus mauritiana : Indian jujubeFamily : RhamnaceaeOrigin : MauritiusHeight in its natural environment : 12 mHardiness : -15°CFlower colour : yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Medium grower
Purple Cabbage Tree,,,Cordyline australis 'purpurea' : Purple Cabbage TreeFamily: AgavaceaeOrigin : New ZealandHeight in its natural environment : 9 mHardiness : -8°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Spanish tamarind,,,Vangueria madagascariensis : Spanish tamarindFamily : RubiaceaeOrigin : MadagascarHeight in its natural environment : 5 mHardiness : 2°CColour of the flower : yellow /greenDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Sausage tree,,,Kigelia africana : Sausage treeFamily: BignoniaceaeOrigin : SenegalHeight in its natural environment : 15 mHardiness : -1°CColour of the flower : RedDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Surinam cherry tree,,,Eugenia uniflora : Surinam cherry treeFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 15 mHardiness : -4°CColour of the flower : whiteDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Makha tree,,,"Afzelia xylocarpa : Makha treeFamily : FabaceaeOrigin : Cambodia, Vietnam, LaosHeight in its natural environment : 30 mHardiness : 0°CFlower colour : green and orangeDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower"
Chañar,,,"Geoffroea decorticans : ChañarFamily:FabaceaeOrigin : Chili, ArgentinaHeight in its natural environment : 7 mHardiness : -10°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Moringa tree,,,Moringa oleifera : Moringa treeFamily: MoringaceaeOrigin : IndiaHeight in its natural environment : 12 mHardiness : -1°CColour of the flower : whiteDifficulty level : Beginner  Height : about 15 to 30 cm (depending on seasons)  Fast grower
Honey locust,,,Gleditsia triacanthos : Honey locustFamily:FabaceaeOrigin : United States of AmericaHeight in its natural environment : 20 mHardiness : -30°CColour of the flower : YellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Yellowhorn tree,,,Xanthoceras sorbifolium : Yellowhorn treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 5 mHardiness : -20°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Mountain Cabbage Tree,,,Cussonia paniculata subsp. sinuata : Mountain Cabbage TreeFamily: AraliaceaOrigin : South AfricaHeight in its natural environment : 6 mHardiness : -6°CColour of the flower : GreenDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
Chinese honey locust,,,"Gleditsia sinensis : Chinese honey locustFamily:FabaceaeOrigin : China, India, KoreaHeight in its natural environment : 12mHardiness : -26°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Pineapple guava,,,Feijoa sellowiana : Pineapple guavaFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 5 mHardiness : -15°CColour of the flower : RedDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
Jamun tree,,,Syzygium cumini : Jamun TreeFamily: MyrtaceaeOrigin : IndiaHeight in its natural environment : 20 mHardiness : -2°CColour of the flower : BlancheDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Indian almond tree,,,Terminalia catappa : Indian almond treeFamily : CombretaceaeOrigin : New CaledoniaHeight in its natural environment : 25 mHardiness : 0°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Golden rain tree,,,Koelreuteria paniculata : Golden rain treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 10 mHardiness : -20 °CColour of the flower : YellowDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons)  Middle grower
Silver-leaved mountain gum,,,Silver-leaved mountain gum : Gommier des montagnes à feuilles d'argentFamily : MyrtaceaeOrigin : AustraliaHeight in its natural environment : 10 mRusticity : -10°CFlower colour : whiteDifficulty level : Expert  Hauteur : environ 10 à 20 cm (selon les saisons)  Croissance moyenne
Red flowering gum tree,,,Corymbia ficifolia : Red flowering gum treeFamily: MyrtaceaeOrigin : AustraliaHeight in its natural environment : 15 mHardiness : -3°CFlower colour : redDifficulty level : Expert  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Paw Paw,,,Asimina triloba: Paw PawFamily: AnnonaceaeOrigin : United States of AmericaHeight in its natural environment : 12 mHardiness : -20°CColour of the flower : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
White Cape Leadwort,,,Plumbago auriculata 'alba' : White Cape LeadwortFamily: PlumbaginaceaeOrigin : South AfricaHeight in its natural environment : 6 mHardiness : -8°C (les tiges gèlent à -5°C)Colour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Cruel plant,,,"Araujia sericifera : Cruel plantFamily: ApocynaceaeOrigin : Argentina, Brasil, PeruHeight in its natural environment : 12 mHardiness : -12°C (aerial parts die at -5°C)Colour of the flower : White to pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Kei apple tree,,,Dovyalis caffra : Kei apple treeFamily : SalicaceaeOrigin : South AfricaHeight in its natural environment : 6 mHardiness : -6°CFlower colour : green/yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Yellow passion fruit,,,"Passiflora edulis f. flavicarpa : Yellow passion fruitFamily : PassifloraceaeOrigin: Paraguay, BrasilHeight in its natural environment : 10 mhardiness : 0°CFlower colour : white and purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons) Fast grower"
Cape Leadwort,,,Plumbago auriculata : Dentelaire du CapFamille : PlumbaginacéesOrigine : Afrique du sudHauteur dans son milieu naturel : 6 mRusticité : -8°C (les tiges gèlent à -5°C)Couleur de la floraison : bleue Difficulty level : Beginner  Hauteur : environ 10 à 20 cm (selon les saisons)  Croissance rapide
Governor's plum,,,Flacourtia indica : Governor's plumFamily: SalicaceaeOrigin : MadagascarHeight in its natural environment : 4 mHardiness : -1°CColour of the flower : yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Chinaberry tree,,,Melia azedarach : Chinaberry treeFamily : MeliaceaeOrigin : IndiaHeight in its natural environment : 13 mHardiness : -7°CFlower colour : white and purpleDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Brazilian cherry tree,,,Eugenia brasiliensis : Brazilian cherry treeFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 15 mHardiness : -5°CColour of the flower : WhiteLevel of difficulty : easyDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Kalahari Christmas Tree,,,Dichrostachys cinerea : Kalahari Christmas TreeFamily : FabaceaeOrigin : Southern AfricaHeight in its natural environment : 8mHardiness : -9°CColour of the flower : Pink and yellowDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Bird of paradise tree,,,Caesalpinia gilliesii : Bird of paradise treeFamily : CaesalpinioideaeOrigin : ArgentinaHeight in its natural environment : 3 mHardiness : -12°C (looses its leaves under 0°C)Flower colour : yellow with red stamensDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Red passion flower,,,"Passiflora manicata : Red passion fruitFamily : PassifloraceaeOrigin : Colombia, EquatorHeight in its natural environment : 9 mHardiness : -3°CFlower colour : redDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Passion fruit,,,"Passiflora edulis f. edulis : Passion fruitFamily : PassifloraceaeOrigin : Paraguay, BrasilHeight in its natural environment: 10 mHardiness: 0°CFlower colour : White and PurpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Pink coral vine,,,Antigonon leptopus : Pink coral vineOrigin : MexicoHeight in its natural environment : 12 mHardiness : -7°CFlower colour : pinkDifficulty level : Beginner  Hauteur : environ 5 à 20 cm (selon les saisons)  Very fast grower
Madagascar jasmine,,,Stephanotis floribunda : Madagascar jasmineFamily : ApocynaceaeOrigin : MadagascarHeight in its natural environment : 5 mHardiness: 5°CFlower colour : whiteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons) Fast grower
Parkinsonia aculeata,,,Parkinsonia aculeata  :Family:Origin :Height in its natural environment : mHardiness : °CColour of the flower :Difficulty level : Expert  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Mexican flame vine,,,Pseudogynoxys chenopodioides : Mexican flame vineFamily: AstéraceaeOrigin : MexicoHeight in its natural environment : 5 mHardiness : -4°CColour of the flower : OrangeDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Henkel's yellowwood,,,Podocarpus henkelii : Henkel's yellowwoodFamily: PodocarpaceaeOrigin : South AfricaHeight in its natural environment : 30 mHardiness : -5°CColour of the flower : conesDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Monstera deliciosa,,,Monstera deliciosa : Monstera deliciosaFamily: AraceaeOrigin : MexicoHeight in its natural environment : 20 mHardiness : -1°CColour of the flower : White turning yellowDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Dwarf pomegranate tree,,,Punica granatum 'nana' : Dwarf pomegranate treeFamily: LythraceaeOrigin : AsiaHeight in its natural environment : 1mHardiness : -12 °CColour of the flower : Red/OrangeDifficulty level : Beginner Height : about 5 to 20 cm (depending on seasons) Fast grower
Corkscrew vine,,,"Vigna caracalla : Corkscrew vineFamily : FabaceaeOrigin : South AmericaHeight in its natural environment : 6 mHardiness : -6°CFlower colour: white and purple first, then purple/orangeDifficulty level : Beginner Height : about 10 to 20 cm (depending on seasons) Fats grower"
White coral vine,,,Antigonon leptopus'alba' : Liane corail blancheFamille : PolygonacéesOrigine : MexiqueHauteur dans son milieu naturel : 12 mRusticité : -7°CCouleur de la floraison : blancheDifficulty level : Beginner  Hauteur : environ 5 à 20 cm (selon les saisons)  Croissance rapide
Red passion vine,,,Passiflora racemosa : Red passion vineFamily: PassifloraceaeOrigin : BrasilHeight in its natural environment : 10 mHardiness : -2°CColour of the flower : Red/PinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Deadly nightshade,,,Atropa belladonna : Deadly nightshadeFamily: SolanaceaeOrigin : Europe and North AfricaHeight in its natural environment : 2 mHardiness : -22°CColour of the flower : dark redDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Mid grower
Bridal veil broom,,,Retama monosperma : Bridal veil broomFamily: FabaceaeOrigin : MoroccoHeight in its natural environment : 4 mHardiness : -6°CColour of the flower : whiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Medium grower
Shiny-leaf buckthorn,,,Rhamnus prinoides : Shiny-leaf buckthornFamily: RhamnaceaeOrigin : Afrique du SudHeight in its natural environment : 9 mHardiness : -7°CColour of the flower : verteDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower
Rush-leaved strelitzia,,,Strelitzia juncea : Rush-leaved strelitziaFamiy : StrelitziaceaeOrigin : South AfricaHeight in its natural environment : 2 mHardiness : -5°CColour flower: orange and blueDifficulty level : Beginner  Height: about 10 to 20 cm  Slow grower
Tiger foot morning glory,,,"Ipomoea pes-tigridis : Tiger foot morning gloryFamily: ConcolvulaceaeOrigin : Asia & Tropical AfricaHeight in its natural environment : 2,5 mHardiness : -7°CColour of the flower : pink to purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Winged-stem passion flower,,,"Passiflora alata : Winged-stem passion flowerFamily: PassifloraceaeOrigin of the Winged-stem passion flower : Peru, BrasilHeigh in its natural environment : 5 mHardiness : 5°CColour of the flower : red with purple, blue and white filamentsDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Medium grower"
Two-tones vanilla plant,,,Vanilla fragrans 'variegata' : Two-tones vanilla plantFamily : OrchidaceaOrigin : MexicoHeight in its natural environment : 20 mHardiness : 16°CFlower colour : yellowDifficulty level : Expert  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Vanilla plant,,,Vanilla planifolia : Vanilla plantFamily : OrchidaceaeOrigin: MexicoHeight in its natural environment : 20 mHardiness : 16°CFlower colour : yellowDifficulty level : Expert  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Bellyache bush,,,Monodora myristica : Bellyache bushFamily: EuphorbiaceaeOrigin : MexicoHeight in its natural environment : 4 mHardiness : -8°CColour of the flower : RougeDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Surinam cherry tree,,,Eugenia uniflora : Surinam cherry treeFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 15 mHardiness : -4°CColour of the flower : whiteDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Yellowhorn tree,,,Xanthoceras sorbifolium : Yellowhorn treeFamily: SapindaceaeOrigin : ChinaHeight in its natural environment : 5 mHardiness : -20°CColour of the flower : WhiteDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Pineapple guava,,,Feijoa sellowiana : Pineapple guavaFamily: MyrtaceaeOrigin : BrasilHeight in its natural environment : 5 mHardiness : -15°CColour of the flower : RedDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower
American beautyberry,,,Callicarpa americana : American beautyberryFamily : VerbénaceaeOrigin : South east of the USAHeight in its natural environment : 2 mHardiness: -12°CFlower color : pinkDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Medium grower
Wild Wisteria Climber,,,Hardenbergia comptoniana : Wild Wisteria ClimberFamily : FabaceaeOrigin : AustraliaHeight in its natural environment : 3 mRusticity : -5°CFlower colour : purple and yellowDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
Banana passionfruit,,,Passiflora mollissima : Banana passionfruitFamily : PassifloraceaeOrigin : South AmericaHeight in its natural environment : 5 mHardiness : -3°CColour of the flower : pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Giant honey flower,,,"Melianthus major : Giant honey flowerFamily : MelianthaceaeOrigin : South AfricaHeight in its natural environment : 2,50 mRusticity : -6°CFlower colour: red/orange/brownDifficulty level : Beginner  Size : 10 cm to 30 cm  Fast grower"
Cockspur coral tree,,,Erythrina crista-galli : Cockspur coral treeFamily : FabaceaeOrigin : South AmericaHeight in its natural environment : 9 mRusticity : -12°CFlower colour : red orangeDifficulty level : Beginner  Height - about 10 to 20 cm (depending on seasons)  Fast Grower
African Iris plant,,,Dietes bicolor : African Iris plantFamily:IridaceaeOrigin : South AfricaHeight in its natural environment : 1 mHardiness : -7°CColour of the flower :pure white to creamDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower
Globe amaranth,,,"Gomphrena globosa : Globe amaranthFamily: AmarantaceaeOrigin : South AmericaHeight in its natural environment : 0,60 mHardiness : -7°CColour of the flower : PurpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Roselle,,,"Hibiscus sabdariffa : RoselleFamily : MalvaceaeOrigin : GuineaHeight in its natural environment : 1,80 mHardiness : 2°CFlower colour : pink and purpleDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower"
Natal lily 'Color mix',,,"Clivia miniata 'Color mix' : Natal lily 'Color mix'Family: AmarylidaceaeOrigin : South AfricaHeight in its natural environment : 0,6 mHardiness : -4°CColour of the flower : surpize !Difficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Slow grower"
Bird of paradise tree,,,Caesalpinia gilliesii : Bird of paradise treeFamily : CaesalpinioideaeOrigin : ArgentinaHeight in its natural environment : 3 mHardiness : -12°C (looses its leaves under 0°C)Flower colour : yellow with red stamensDifficulty level : Beginner  Height : about 10 to 30 cm (depending on seasons)  Fast grower
African rosemallow,,,Hibiscus acetosella : African rosemallowFamily : MalvaceaeOrigin : AfricaHeight in its natural environment : 3 mHardiness : 4°CFlower colour: pinkDifficulty level : Beginner  Height : about 10 to 20 cm (depending on seasons)  Fast grower
Shell ginger plant,,,"Alpinia zerumbet : Shell ginger plantFamille : ZingiberaceaeOrigin : China and JapanHeight in its natural environment : 3 mHardiness : 5°C but rhizomes can handle frosts up to -10°cFlower colour : white, interior yellow,red and orangeDifficulty level : Beginner  Height : about 5 to 20 cm (depending on seasons)  Fast grower"
